date,time,ethPrice,usdtPrice,feesUSD,txCount,open,close
2023-12-09,13:00:00,2353.729716449399329158968976765378,0.0004248576176828407224074209138217858,0,2,0.0004248551062850835781931224271891578,0.0004248576176828407224074209138217858
2023-12-09,12:00:00,2353.770911192291726767719869052868,0.000424850181997301786217103430800014,0,53,0.000423326622712272514908576296758074,0.000424850181997301786217103430800014
2023-12-09,11:00:00,2362.248227979091243829235464081242,0.0004233255371538588409673295171835203,0,30,0.0004224186277275841122718250169626364,0.0004233255371538588409673295171835203
2023-12-09,10:00:00,2367.311417171803852968536135951262,0.0004224201314395243310091357756639613,0,59,0.0004205640059286493296960545528620615,0.0004224201314395243310091357756639613
2023-12-09,09:00:00,2377.464906719033830126344623818793,0.0004206160928701265968259110860135627,0,27,0.0004218349816933705731078471729942627,0.0004206160928701265968259110860135627
2023-12-09,08:00:00,2370.601484171953941473508153367816,0.0004218338707188053052289724913553251,0,34,0.0004226511305811062776546502601028667,0.0004218338707188053052289724913553251
2023-12-09,07:00:00,2365.953415075057283332632336011518,0.0004226625907460126784331770540666908,0,20,0.000423430433119422199369797925670272,0.0004226625907460126784331770540666908
2023-12-09,06:00:00,2361.109160134015359163143531317787,0.0004235297617257308454413202904454834,0,37,0.0004244031209971918499363505014966904,0.0004235297617257308454413202904454834
2023-12-09,05:00:00,2356.264005074857905328666507999618,0.0004244006604719279983810510552956102,0,18,0.0004243447880983023821909498464451692,0.0004244006604719279983810510552956102
2023-12-09,04:00:00,2356.598842634762053999374326557148,0.0004243403594656628630519979679559059,0,20,0.0004241520591517186707938738260794945,0.0004243403594656628630519979679559059
2023-12-09,03:00:00,2357.633211669475451038198995851586,0.0004241541877889839344565582740207493,0,27,0.000423506462731542437146794228849904,0.0004241541877889839344565582740207493
2023-12-09,02:00:00,2361.264710402773172311803138053349,0.0004235018613518451354923963257740883,0,29,0.0004234663594934280778368407131454163,0.0004235018613518451354923963257740883
2023-12-09,01:00:00,2361.513666200737761937889650557054,0.0004234572148840557022665659409460545,0,39,0.0004222833009749398545512349151044704,0.0004234572148840557022665659409460545
2023-12-09,00:00:00,2368.09075566653316744765023345125,0.0004222811130051202924422455445309604,0,26,0.0004221891885737760396366778286468563,0.0004222811130051202924422455445309604
2023-12-08,23:00:00,2368.596942884076008548059270206144,0.0004221908683131075250270708936953137,0,28,0.0004236118339480837135570299380641018,0.0004221908683131075250270708936953137
2023-12-08,22:00:00,2360.655251053693544186515805057465,0.0004236111984389264866014595308100349,0,33,0.0004256280940005843869890977742254127,0.0004236111984389264866014595308100349
2023-12-08,21:00:00,2349.475081219202127639258512421261,0.0004256269870634570304919114229782037,0,23,0.0004256425832838826224752015476220124,0.0004256269870634570304919114229782037
2023-12-08,20:00:00,2349.38972487465105152471164661731,0.0004256424506382625954550605878646525,0,31,0.000425634654482544635207089979571869,0.0004256424506382625954550605878646525
2023-12-08,19:00:00,2349.3285556475423047240660308486,0.0004256535330471779542971114921753838,0,36,0.0004247743015590129068241961917046387,0.0004256535330471779542971114921753838
2023-12-08,18:00:00,2354.26566671478402729790556169949,0.0004247608985418503292659321989823093,0,19,0.0004251673428706492002864429310342681,0.0004247608985418503292659321989823093
2023-12-08,17:00:00,2352.013110247285895945630962756408,0.0004251676981064370108237229080853274,0,41,0.0004233587951886418267482668965401999,0.0004251676981064370108237229080853274
2023-12-08,16:00:00,2360.562442055674279028643313397575,0.0004236278533386980087726550976768123,0,29,0.000425652642608734537424365513157293,0.0004236278533386980087726550976768123
2023-12-08,15:00:00,2349.381279934597578374506738002423,0.0004256439806261834805644092548105362,0,37,0.0004228522693568936945098975055522744,0.0004256439806261834805644092548105362
2023-12-08,14:00:00,2364.881652800720160706123552689839,0.0004228541410584770202345865393215104,0,28,0.0004227991651107805414031070711660897,0.0004228541410584770202345865393215104
2023-12-08,13:00:00,2365.210949539125079028242230989978,0.0004227952691470736410447409014595319,0,40,0.0004250794521550000552090872018561556,0.0004227952691470736410447409014595319
2023-12-08,12:00:00,2352.50338246934765688989653247597,0.0004250790912573872442260568851756981,0,28,0.0004252081048071412369637727725985714,0.0004250790912573872442260568851756981
2023-12-08,11:00:00,2351.763235193275353780884662769209,0.0004252128722123750827710201467565418,0,29,0.0004244608247243230806782896743354842,0.0004252128722123750827710201467565418
2023-12-08,10:00:00,2355.949422619413253295564816597701,0.0004244573293463027088467180272466616,0,34,0.0004238508910316250500648094927578939,0.0004244573293463027088467180272466616
2023-12-08,09:00:00,2360.572984818466852842568807468513,0.0004236259613370531536346915903412196,0,46,0.0004211597054319466557550568671980898,0.0004236259613370531536346915903412196
2023-12-08,08:00:00,2374.406949551574670487147379369015,0.0004211577969769915910523739578536513,0,17,0.0004211535889915431664742963156900019,0.0004211577969769915910523739578536513
2023-12-08,07:00:00,2374.433852595554411243254578734365,0.000421153025133496310207299473294515,0,36,0.0004207186657487766383028646578513227,0.000421153025133496310207299473294515
2023-12-08,06:00:00,2377.032762205735272330650460622297,0.0004206925608682244579943644445006706,0,40,0.0004206691428520577767805327063219964,0.0004206925608682244579943644445006706
2023-12-08,05:00:00,2377.114611564141662273337592329273,0.0004206780754849678433169841185061092,0,35,0.0004204277241711797614940321723965045,0.0004206780754849678433169841185061092
2023-12-08,04:00:00,2378.520250391157952724744130555036,0.0004204294665288410601538591877859964,0,51,0.0004239172873791634826488271506109958,0.0004204294665288410601538591877859964
2023-12-08,03:00:00,2358.946605076023390887229353666651,0.0004239180309754286760666252489052139,0,44,0.000424398350213856120103410033427651,0.0004239180309754286760666252489052139
2023-12-08,02:00:00,2356.25149860895928225623257230096,0.0004244029130975032728245251860941769,0,31,0.0004244325069248217152259284178834364,0.0004244029130975032728245251860941769
2023-12-08,01:00:00,2356.003899365090493142694478873599,0.0004244475148235050724336239344144962,0,32,0.0004241072091086347168812555711070314,0.0004244475148235050724336239344144962
2023-12-08,00:00:00,2357.891345512110088939499433320382,0.0004241077528459268936203424312586341,0,59,0.0004219224296668848829090009409695772,0.0004241077528459268936203424312586341
2023-12-07,23:00:00,2370.127784031668018066782654321334,0.0004219181795755189069023201742098132,0,63,0.0004273604598667420683781581324056927,0.0004219181795755189069023201742098132
2023-12-07,22:00:00,2339.984734033297646471942075316707,0.0004273532153675025401751382439400738,0,25,0.0004284610833221784670088772457368662,0.0004273532153675025401751382439400738
2023-12-07,21:00:00,2334.858005052676084917114534751633,0.0004282915696954510417456577376866342,0,27,0.0004268529556565921660874044522093136,0.0004282915696954510417456577376866342
