liquidity,sqrtPrice,token0Price,token1Price,volumeToken0,volumeToken1,volumeUSD,periodStartUnix
5831949610959570249,4197307961486146012308524,0.0003563013741625957561103580712457706,2806.612807346784658990494990484571,0,0,0,1622005200
5127147399314987237,4249214728729529389746495,0.000347649661729345992140376838017181,2876.45900480848204620235965717593,0,0,0,1622008800
5246604983881212145,4252490403295580549551252,0.0003471142820127524568475815613470624,2880.895577679691968028129635635584,0,0,0,1622012400
6124436529525089843,4223224232553724527871779,0.0003519418281096729528409913298338589,2841.378660135781337714508097392737,0,0,0,1622016000
6132738112102057631,4232332489235427386582340,0.0003504286543643160502504218381781067,2853.647918187564255634665292183359,0,0,0,1622019600
6146553891590068790,4198917600105413339242807,0.0003560282530495295036798348518388784,2808.765853368617971253490824257678,0,0,0,1622023200
6301929978934264943,4211625166570527761721636,0.0003538830349505814226831122980924813,2825.792426414695582980547049036437,0,0,0,1622026800
5946136793578689722,4230653372534900213484607,0.0003507068749236895872394179743073979,2851.384080273847771317998473958854,0,0,0,1622030400
5507079153058468739,4123219492310610495999833,0.0003692208849239159962665025154813465,2708.405837351444406620913865803124,0,0,0,1622034000
6839879230507314825,4152813393386621558940237,0.0003639773296396813605230898989436079,2747.423860134223269756838637896127,0,0,0,1622037600
6511452253092547056,4143929225345755339727618,0.0003655396642639918858120483255444328,2735.681234520701293631017913986338,0,0,0,1622041200
5884281644912713394,4120339733237041264578526,0.0003697371718458763248324749857232459,2704.623922467948607766079495963515,0,0,0,1622044800
6572062534950481806,4130475465569694902383366,0.0003679248095683715813799148940470361,2717.946640165807275102053819602182,0,0,0,1622048400
7774632160451419299,4146766328377691603162638,0.0003650396510782529305830857122125053,2739.428434818527965480699488294345,0,0,0,1622052000
7942880084565907982,4139494703982285125264145,0.0003663232679780369029384332265886218,2729.829326757249573524444948576744,0,0,0,1622055600
8339980077666881817,4185883065387360746675089,0.0003582489973440710289089891399748371,2791.354637175929728944920926868186,0,0,0,1622059200
7852762474184430774,4202281965739223237436416,0.0003554584056460032797090151509041537,2813.268680994107328465482670875096,0,0,0,1622062800
8072043222141817953,4213960403620233160716369,0.0003534909231538862737362864636588376,2828.926952573169672581285877687344,0,0,0,1622066400
7797801014663563377,4245316902598537794826963,0.0003482883419728133374372682723504517,2871.184244455870754380442634504951,0,0,0,1622070000
8363074142388717412,4199390322103462427273538,0.0003559481019316753845890453745522222,2809.3983211966981069390446482809,0,0,0,1622073600
7175130210868033187,4104774397731846696871879,0.0003725465807093912644951979011700421,2684.228098660393110836671493933462,0,0,0,1622077200
7256626194865884449,4121444592353296610264514,0.0003695389633195617419712640214613396,2706.074593642354538272243731481806,0,0,0,1622080800
7201694561689125177,4089398573137961326160710,0.0003753533404770704129990194663184607,2664.156388561801025707791500439648,0,0,0,1622084400
7408337782934524703,4111409207117416359152391,0.0003713451526806594216548358209674695,2692.912490660558674911422199428644,0,0,0,1622088000
7966677257034943911,4135852828275427522545316,0.0003669686928742425741094928854825918,2725.028100265470110194616105899801,0,0,0,1622091600
8382585431944889773,4150020280900464801840791,0.000364467434106338440671346273684225,2743.729360764331273976405042363818,0,0,0,1622095200
8003451367287102205,4145485701963484735498819,0.0003652652225360055714165401506744357,2737.736686392108480074165704139239,0,0,0,1622098800
8416273023012772087,4163905168035696475686507,0.0003620407930057517280149602564877002,2762.119681867211684195850403475459,0,0,0,1622102400
8457902282562967527,4183959223536601848396749,0.0003585785286957755963825026616624833,2788.789400294566415936779426907601,0,0,0,1622106000
8490632354210193275,4182305340992349142699046,0.0003588621827958223438735263731205688,2786.58506786422354164174387005076,0,0,0,1622109600
8803670463123990631,4211390053005381513437106,0.000353922549231360831384160912107099,2825.476936046522729523811295074559,0,0,0,1622113200
8727389490383608725,4185597752111890235967460,0.0003582978394376622633894878538264106,2790.974128031221383013569868738095,0,0,0,1622116800
8807556394641246240,4220148131047644220610228,0.0003524550818226710881586417265488494,2837.240975016285492888288902083527,0,0,0,1622120400
8876986509062429164,4226327155452899597060644,0.0003514252341818858488121089997178756,2845.555477334999019060133032447042,0,0,0,1622124000
9295886760600616881,4201702830256929480876499,0.0003555564005640695741745109850997259,2812.493315866506953469325830586261,0,0,0,1622127600
9057883999828811661,4173250683809698961136380,0.0003604211110047749895542681916622621,2774.532260921729519434611122748661,0,0,0,1622131200
8938733127025021819,4177852505105365226681582,0.0003596275549430748014825519126149353,2780.654558459207367324056515250226,0,0,0,1622134800
8997861370408425590,4177486300729086221996171,0.0003596906086300772982058988149026075,2780.167110307978401749783546028865,0,0,0,1622138400
9227613780370036554,4154663320915370986945242,0.000363653268831708824027654199688815,2749.872160403373741287332927691232,0,0,0,1622142000
9587025359865066343,4139845992428189224433263,0.0003662611015728492425529168312785822,2730.292667459528860800388562853426,0,0,0,1622145600
10040702264817986734,4170353048326497831001258,0.0003609221390046183534013514991802186,2770.680686859178836424287631251831,0,0,0,1622149200
10021600730733274689,4160031931190926565020227,0.0003627152698175634219848442021105934,2756.983461167693955371148982757443,0,0,0,1622152800
10126899206336542083,4152936638105849368287277,0.0003639557267971211394429463888696077,2747.586935367628675146060857995974,0,0,0,1622156400
9109536186610955026,4124164141333144636550573,0.0003690517625557480033372585506487876,2709.646996602387423066750689986885,0,0,0,1622160000
8611693867688846911,4120220766730454192459512,0.0003697585236021083518924789273847072,2704.467743591720762470748303776075,0,0,0,1622163600
9290958994316724149,4133092701721306858464869,0.0003674589883083342711866745379703017,2721.39213304778801612429372611528,0,0,0,1622167200
9311988108905507668,4125711775923378620777168,0.0003687749375237332538318286011687228,2711.681023430837096840300278384997,0,0,0,1622170800
8812488424442987130,4087929827842925667713579,0.0003756231090462780942048687244704275,2662.243019443184649083861721422244,0,0,0,1622174400
8139619124594291857,4023256163172504844523307,0.0003877964213259237184844058008773919,2578.672584395897358062250890833016,0,0,0,1622178000
8261464064189970515,4001820857055861172444176,0.0003919619239219063886888247930480086,2551.268220122416147576604291277021,0,0,0,1622181600
8297642932115855599,4009113967570144932282079,0.0003905371594749263588896649400866522,2560.575801146530740498604933943289,0,0,0,1622185200
8077829652249494457,3969416166315344538016695,0.0003983876797161642315223863212118258,2510.117784547105498709831615958839,0,0,0,1622188800
7480724791081979763,3964165112091814720240083,0.000399443811730317025690566305911094,2503.481016937486583907593824950073,0,0,0,1622192400
7449456537157692546,3961833062119474631445372,0.0003999141985821650178572527545650816,2500.53637391557475342930778535587,0,0,0,1622196000
6692231266674580000,3906256180375889008038422,0.0004113748375942944014122798930636644,2430.873035035309572749678436645509,0,0,0,1622199600
8368880898151663770,4011773399111483243655149,0.0003900195516805898505690552354219431,2563.974025637974494842982734154842,0,0,0,1622203200
8338613940987618529,4035662745475578289483443,0.0003854157304238640886751561774227471,2594.600897322592036346355300402603,0,0,0,1622206800
8333548957807358744,4007368445580208956333499,0.0003908774524496770155024171364602339,2558.346596184755978216086437967401,0,0,0,1622210400
8181614648300795435,4009469991486374853007105,0.0003904678064700959814095177249540813,2561.030598246222141800950162264027,0,0,0,1622214000
8335226669623426991,3951868489175891878745183,0.0004019334956504301276682352159328533,2487.973783776708866184175603201454,0,0,0,1622217600
8406267218398355527,3957128624932995767588605,0.0004008656407721344782484555329549235,2494.601428233739932843556328759328,0,0,0,1622221200
8706470349043186663,3981807265452784594490460,0.0003959120298672676244690842873734835,2525.813626666654314130900498229577,0,0,0,1622224800
8423439293229677330,3963797363322947633552462,0.0003995179334730597261552193541372434,2503.016551239324908373370528881165,0,0,0,1622228400
6932151917730173816,3908707513446649454195805,0.0004108590146386077865615254134112693,2433.924933786840527679109092217995,0,0,0,1622232000
6462948474404728027,3857004886153350565565843,0.0004219478607702507920034952659984155,2369.961061479339213565615985820309,0,0,0,1622235600
6596319376223336332,3866551646098913656887094,0.0004198668013035903637697734065159117,2381.707715149730279256867284327821,0,0,0,1622239200
7130189926243719397,3895016064196430373921623,0.0004137525288008646165767228431513057,2416.903657116476589456714473915567,0,0,0,1622242800
8117794590736878282,3948911420795318119319108,0.0004025356817792916883523235175147087,2484.251819813317878385412810457189,0,0,0,1622246400
8267765880183264928,3973856042334960087762403,0.0003974979626370982853459673879204302,2515.736164698194862915900536473377,0,0,0,1622250000
8450528895471215941,3969842141137316289893012,0.0003983021881474280556407862649369856,2510.656556146909204388976754961744,0,0,0,1622253600
8704337184962098566,3978755821030913905180647,0.0003965195397912221524533232697849605,2521.94381272238437695614853243415,0,0,0,1622257200
8765365963824629471,3942958264154168179980501,0.0004037521121044591404612193444674399,2476.767229248026878705801810595347,0,0,0,1622260800
8802650365483035442,4001043169074953611983482,0.0003921143110313935113468851056854382,2550.276722544660857259803585590956,0,0,0,1622264400
9368277484377603276,3985207246680237691765148,0.0003952367730106564333241810948391226,2530.12894620774026404460254999862,0,0,0,1622268000
9473549656343327061,3956908871789766279598604,0.0004009101674132961414013643386743259,2494.324368104901074406646445355175,0,0,0,1622271600
8133497732435543363,3925511633181504711389749,0.0004073489770599106368067653416762002,2454.897535812212252920746473608853,0,0,0,1622275200
7475761288594028222,3904735556506223828968968,0.0004116953039571784163234313993533397,2428.98082729652122955684432282061,0,0,0,1622278800
7985663662556090746,3904227498724724926099336,0.0004118024588871556443560497123874092,2428.348783303466028430515735882493,0,0,0,1622282400
8192786226286566211,3919536967738451380976931,0.0004085917916133002115188933474091602,2447.430468565117050898434366879802,0,0,0,1622286000
7432321012062668302,3874749137010808073918327,0.0004180921246259347946058114599446442,2391.817355791371699382006737196954,0,0,0,1622289600
7372501961877476882,3869283251322346508931877,0.0004192741822421865622769523107739789,2385.074117018650814095477697169993,0,0,0,1622293200
7439452902262605626,3853375829214721272336893,0.0004227430045328733213710438695270506,2365.503365584936716933515810298079,0,0,0,1622296800
6954016432785948632,3817167782076676262730525,0.0004308009658089577300230483197936649,2321.257562926305773470824137019654,0,0,0,1622300400
7887637546030165214,3859138312222209132502895,0.0004214814635238877986252662232790188,2372.583580875139011180836048917686,0,0,0,1622304000
5974719392197288947,3773588575543304421024958,0.0004408086119776331840655897856924962,2268.5582196627783309634855716449,0,0,0,1622307600
5670874182254306813,3769934248143608328945524,0.0004416636081729523485230666102766331,2264.166622504263618636987647872854,0,0,0,1622311200
5732078028011090174,3760586854270200405099045,0.0004438619536381241044605563428740075,2252.952729567106097631721193680194,0,0,0,1622314800
5404870344871238266,3739933094427628758822573,0.0004487779408869578061480312848946881,2228.273515457590030454649060848402,0,0,0,1622318400
6116783976180778591,3772180728287782635955836,0.000441137709148378307157876930650004,2266.865831829503120802365581853984,0,0,0,1622322000
6138142793459497205,3770686639848445117374483,0.0004414873692470644000444815591930304,2265.070463296497447307886559694163,0,0,0,1622325600
6152516614306849508,3786133688070627130200281,0.0004378922691041459755195580485593636,2283.66671566463600236696868508245,0,0,0,1622329200
5514049362555428904,3734373804929930998526105,0.0004501151094021841698639658515805928,2221.653926099347978133995932566125,0,0,0,1622332800
5723567069520873149,3740367240635441117418145,0.0004486737671941932560298521564757542,2228.790879069120709666832351843432,0,0,0,1622336400
6178158625054664995,3772634790730988503776941,0.0004410315276475794796610672304420905,2267.411596023317349985617183755752,0,0,0,1622340000
7299780680406020255,3798408122936476513471524,0.0004350667719038880568643298544383198,2298.497758456518223502111471152956,0,0,0,1622343600
7562951057034168480,3803344783305502893627125,0.0004339380901099717100879320783298795,2304.476197852492763806988368922883,0,0,0,1622347200
7006748109301765601,3861318147371157165620409,0.0004210057188484576274630459268245429,2375.264646606744170973923966414613,0,0,0,1622350800
7029333637624914191,3904975884990796206565458,0.0004116446306281926497262185844011132,2429.279834098514206516396609889306,0,0,0,1622354400
6952072476063196213,3928958205612066384521710,0.0004066346187549816619519085823954787,2459.210194797879702515686779461463,0,0,0,1622358000
7010465140126512279,3902932587276660049747514,0.0004120757591128966835432892271817355,2426.738234136284880417620797882283,0,0,0,1622361600
7001083907578842784,3899207954205329681862338,0.000412863387818614925846988359003493,2422.108691408922809590133610060323,0,0,0,1622365200
6621061847145050459,3889057931551348323933985,0.00041502125807158440315934872812089,2409.515128566056000963154190963012,0,0,0,1622368800
7417072168703801533,3923697388406595103610127,0.0004077257653476235690434122052743903,2452.628911364991575384604250231255,0,0,0,1622372400
6934982645787272928,3866590597991150704667199,0.000419858341900606797343081312382132,2381.755702347651168504618629274033,0,0,0,1622376000
6939866978936160833,3870953427297404520150861,0.0004189124570958940007574120799126203,2387.133595721857966051853001923118,0,0,0,1622379600
7498051724963828323,3846014254322283677337392,0.0004243628803008378897538341909608789,2356.473778505517262052128847110628,0,0,0,1622383200
7340710808581791745,3861302545544130175412485,0.0004210091210535920344488799566388618,2375.245451921469805676915843775808,0,0,0,1622386800
7368102346531799341,3880949116443600838859191,0.0004167573521506375710034429861695436,2399.477765274188846852848499610463,0,0,0,1622390400
7693596520240834346,3904276273058147080946298,0.0004117921700327968281849316515809244,2428.409456936385828507118470598489,0,0,0,1622394000
7442297281756064219,3927783149697063972915728,0.0004068779569786630062000055403525546,2457.739434757437034322853036155707,0,0,0,1622397600
7463061988180608432,3920545564834236406864936,0.0004083815905182247222791493442682558,2448.690203520262016054735794368429,0,0,0,1622401200
10323579824316176171,3915746843164793062077325,0.000409383141676602877417435209223215,2442.699511036441244576268031074818,0,0,0,1622404800
8007669324825885749,3905048373473975951720898,0.000411629348247500878979245823909266,2429.370024896108193608150873851505,0,0,0,1622408400
7335120201068012726,3892988954079975097579168,0.0004141835294080112704755358936565386,2414.388620014153753869698808944547,0,0,0,1622412000
7337880231052991187,3874869933234228923241398,0.0004180660576025996941224610415784098,2391.966489062760063631771309261772,0,0,0,1622415600
7364245805396643556,3848605420611129735771553,0.0004237916476047298748152624706876587,2359.6500913880662108167320054936,0,0,0,1622419200
6693191646401193259,3806579526588048397866542,0.0004332009023509720598887067205185392,2308.397777042987036875355559784565,0,0,0,1622422800
7556018892210974806,3816551417712975670471431,0.0004309401237949942910062270712244102,2320.507988891091017294858042182273,0,0,0,1622426400
6449053913718976277,3797652673400100255025261,0.0004352398807739710284592573678487335,2297.583572125185035229713347605783,0,0,0,1622430000
7820015772711526544,3804681938234195244776442,0.0004336331287480016536169248021168696,2306.096867845935722536469068739566,0,0,0,1622433600
7852003985779441127,3820917645107841066861004,0.0004299558013412984634277391349766949,2325.820460801739596762807942400991,0,0,0,1622437200
7799075094653609434,3867303664275327342030124,0.0004197035264256615253740797350641854,2382.634257368150553970174072391117,0,0,0,1622440800
