date,time,priceEth,priceUsdt,open,close,high,low,buyEthCounter,sellEthCounter,buyEthAmount,sellEthAmount,buyUsdtCounter,sellUsdtCounter,buyUsdtAmount,sellUsdtAmount
2023-12-09,10:00:00,2392.590017966633221590787544826946,0.0004179571061028918336580182499603946,0.0004205640059286493296960545528620615,0.0004179571061028918336580182499603946,0.0004205640059286493296960545528620615,0.0004179487435697447982180023004681453,6,16,2.1122793545253407,-321.7910054577185,16,6,769783.1957629999,5029.647406
2023-12-09,09:00:00,2377.464906719033830126344623818793,0.0004206160928701265968259110860135627,0.0004218349816933705731078471729942627,0.0004206160928701265968259110860135627,0.0004218349816933705731078471729942627,0.0004205364343806643521895127918826545,18,8,16.151460889817855,-192.87544345168726,8,18,459264.05559400003,38285.918749000004
2023-12-09,08:00:00,2370.601484171953941473508153367816,0.0004218338707188053052289724913553251,0.0004226511305811062776546502601028667,0.0004218338707188053052289724913553251,0.0004226511305811062776546502601028667,0.0004218292244965433404887136912994303,7,24,2.1144725894097185,-154.5290558514399,24,7,367069.2716369999,4993.201039
2023-12-09,07:00:00,2365.953415075057283332632336011518,0.0004226625907460126784331770540666908,0.000423430433119422199369797925670272,0.0004226625907460126784331770540666908,0.000423430433119422199369797925670272,0.0004226599173651233920031098119801458,8,11,1.3722768110726602,-160.7142540565781,11,8,380999.1921500001,3236.9134220000005
2023-12-09,06:00:00,2361.109160134015359163143531317787,0.0004235297617257308454413202904454834,0.0004244031209971918499363505014966904,0.0004235297617257308454413202904454834,0.0004244637111932059112389317454344433,0.0004235294556961228003878157065442046,18,17,15.881390207149476,-185.28812866276957,17,18,438304.85851799994,37310.23795700001
2023-12-09,05:00:00,2356.264005074857905328666507999618,0.0004244006604719279983810510552956102,0.0004243447880983023821909498464451692,0.0004244006604719279983810510552956102,0.0004244025145013693158939796353435171,0.0004243447880983023821909498464451692,12,3,48.821478756938816,-0.7482746160054312,3,12,1768.4347739999998,114701.10197999998
2023-12-09,04:00:00,2356.598842634762053999374326557148,0.0004243403594656628630519979679559059,0.0004241520591517186707938738260794945,0.0004243403594656628630519979679559059,0.0004243430616543443885730309129744835,0.0004241520591517186707938738260794945,14,5,38.71432960282992,-1.1855655621704648,5,14,2802.795926,90980.24112699999
2023-12-09,03:00:00,2357.633211669475451038198995851586,0.0004241541877889839344565582740207493,0.000423506462731542437146794228849904,0.0004241541877889839344565582740207493,0.0004241541877889839344565582740207493,0.000423506462731542437146794228849904,25,1,124.19716873605546,-0.45448526495827785,1,25,1074.813625,292151.6660400001
2023-12-09,02:00:00,2361.264710402773172311803138053349,0.0004235018613518451354923963257740883,0.0004234663594934280778368407131454163,0.0004235018613518451354923963257740883,0.0004235367075905192228804311965420748,0.0004234660451893167154486292003211943,21,6,17.589670975157347,-9.41072821255376,6,21,22287.506067,41409.702346
2023-12-09,01:00:00,2361.513666200737761937889650557054,0.0004234572148840557022665659409460545,0.0004222833009749398545512349151044704,0.0004234572148840557022665659409460545,0.0004234649158654056198205960272990617,0.0004222833009749398545512349151044704,29,10,219.32505690894604,-4.448443575573758,10,29,10552.062232,517104.625353
